,Earnings,IMDB rating,MetaCritic Score,Popularity,Rating Runtime Genre,Release Date,Star Power,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $2,641,888",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.01818181818181818,$12.11,4:00p,1917 (2019)1
1,"Gross USA: $2,641,888",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.0,$12.11,7:00p,1917 (2019)2
2,"Gross USA: $2,641,888",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.00909090909090909,$12.11,9:45p,1917 (2019)3
3,"Gross USA: $425,862",6.4,68,101,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »,20500," Reserved seating, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.011764705882352941,$12.11,4:00p,JUST MERCY1
4,"Gross USA: $425,862",6.4,68,101,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »,20500," Reserved seating, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.023529411764705882,$12.11,7:00p,JUST MERCY2
5,"Gross USA: $425,862",6.4,68,101,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »,20500," Reserved seating, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.011764705882352941,$12.11,10:00p,JUST MERCY3
